YEAR,HEIGHTM,TOTMEMBERS,success,O2USED,HOST_FACTOR,has_deaths
2023,6814,9,1,0,Nepal,0
2023,6814,9,1,0,Nepal,0
2023,6814,11,1,0,Nepal,0
2023,6814,14,1,0,Nepal,0
2023,6814,5,1,0,Nepal,0
2023,6814,5,1,0,Nepal,0
2023,6814,10,1,0,Nepal,0
2023,6814,5,1,0,Nepal,0
2023,6814,11,1,0,Nepal,0
2023,6814,9,1,0,Nepal,0
2023,6814,12,1,0,Nepal,0
2023,6814,8,1,0,Nepal,0
2023,6814,7,1,0,Nepal,0
2023,6814,5,1,0,Nepal,0
2023,6814,4,1,0,Nepal,0
2023,6814,7,1,0,Nepal,0
2023,6808,4,0,0,Nepal,0
2023,8091,4,0,0,Nepal,0
2023,7525,5,1,1,Nepal,0
2023,7152,8,1,1,Nepal,0
2023,7152,15,0,0,Nepal,0
2023,7152,14,1,0,Nepal,0
2023,7152,2,1,0,Nepal,0
2023,6109,6,1,0,Nepal,0
2023,6142,4,0,0,Nepal,0
2023,6686,2,1,0,Nepal,0
2023,6423,6,1,0,Nepal,1
2023,6700,3,1,0,Nepal,0
2023,8188,9,1,1,China,0
2023,8188,4,1,1,China,0
2023,8188,5,1,1,China,0
2023,8188,2,1,0,China,0
2023,8188,5,0,0,Nepal,0
2023,8188,4,1,1,China,0
2023,8188,24,1,1,China,0
2023,6258,4,1,0,Nepal,0
2023,8167,10,1,1,Nepal,0
2023,8167,10,1,1,Nepal,0
2023,8167,2,1,0,Nepal,0
2023,8167,3,0,0,Nepal,1
2023,6332,6,1,0,Nepal,0
2023,6881,2,0,0,Nepal,0
2023,8849,4,0,0,China,0
2023,6378,2,1,0,Nepal,0
2023,7126,11,1,0,Nepal,0
2023,7126,13,1,0,Nepal,0
2023,7126,6,1,0,Nepal,0
2023,7126,9,1,0,Nepal,0
2023,7126,5,1,0,Nepal,0
2023,7126,15,1,1,Nepal,0
2023,7126,14,1,0,Nepal,0
2023,7126,15,1,0,Nepal,0
2023,7126,5,1,0,Nepal,0
2023,7126,2,1,0,Nepal,0
2023,7126,9,1,0,Nepal,0
2023,7126,5,1,0,Nepal,0
2023,7126,4,0,0,Nepal,0
2023,7126,10,1,0,Nepal,0
2023,7126,2,0,0,Nepal,0
2023,6687,6,1,0,Nepal,0
